iter	Passed	Remaining
0	62	62879
1	66	33260
2	70	23470
3	74	18479
4	77	15472
5	81	13433
6	84	11947
7	87	10867
8	90	10016
9	94	9317
10	97	8746
11	100	8288
12	103	7883
13	106	7531
14	110	7226
15	113	6954
16	116	6732
17	119	6529
18	122	6343
19	125	6169
20	129	6015
21	132	5881
22	135	5753
23	138	5633
24	141	5534
25	144	5427
26	147	5329
27	151	5247
28	154	5166
29	157	5096
30	160	5021
31	164	4961
32	166	4890
33	168	4779
34	171	4725
35	174	4671
36	177	4620
37	180	4570
38	184	4540
39	187	4495
40	190	4460
41	193	4418
42	197	4402
43	200	4366
44	203	4327
45	206	4292
46	210	4261
47	213	4235
48	216	4204
49	219	4174
50	222	4144
51	226	4121
52	228	4091
53	232	4065
54	235	4039
55	238	4021
56	241	3996
57	244	3972
58	247	3947
59	250	3925
60	253	3905
61	256	3883
62	259	3861
63	262	3842
64	265	3822
65	268	3802
66	271	3783
67	274	3765
68	277	3748
69	280	3731
70	283	3715
71	286	3699
72	290	3683
73	293	3678
74	296	3662
75	300	3647
76	303	3633
77	306	3620
78	309	3609
79	312	3597
80	315	3582
81	318	3571
82	322	3559
83	325	3552
84	329	3547
85	332	3537
86	336	3530
87	339	3522
88	343	3519
89	347	3509
90	350	3500
91	353	3490
92	356	3477
93	359	3464
94	362	3457
95	365	3445
96	369	3436
97	372	3425
98	375	3416
99	378	3408
100	381	3397
101	384	3386
102	387	3376
103	390	3368
104	394	3359
105	397	3350
106	400	3340
107	403	3330
108	406	3321
109	409	3312
110	412	3303
111	415	3295
112	419	3290
113	423	3291
114	426	3284
115	429	3275
116	433	3270
117	436	3263
118	440	3257
119	443	3249
120	446	3242
121	449	3233
122	452	3225
123	455	3218
124	458	3210
125	461	3202
126	464	3194
127	467	3186
128	471	3180
129	474	3173
130	477	3164
131	480	3156
132	483	3149
133	486	3142
134	489	3134
135	492	3127
136	495	3119
137	498	3114
138	502	3109
139	505	3102
140	507	3094
141	511	3087
142	514	3081
143	517	3075
144	521	3072
145	524	3066
146	527	3062
147	530	3055
148	533	3048
149	536	3040
150	539	3034
151	542	3027
152	545	3021
153	548	3015
154	552	3009
155	555	3005
156	558	2998
157	561	2992
158	564	2986
159	567	2981
160	570	2974
161	574	2969
162	577	2964
163	580	2958
164	584	2956
165	587	2951
166	591	2947
167	594	2942
168	597	2940
169	600	2933
170	604	2928
171	607	2922
172	610	2919
173	613	2913
174	617	2909
175	620	2905
176	624	2901
177	627	2898
178	630	2892
179	633	2887
180	637	2883
181	640	2878
182	643	2872
183	646	2867
184	649	2862
185	653	2858
186	656	2853
187	659	2847
188	662	2841
189	665	2838
190	669	2834
191	672	2829
192	675	2824
193	678	2819
194	681	2814
195	684	2808
196	687	2803
197	690	2798
198	694	2794
199	697	2789
200	700	2783
201	703	2778
202	706	2775
203	710	2772
204	714	2769
205	717	2764
206	720	2760
207	723	2756
208	727	2752
209	730	2747
210	734	2746
211	737	2741
212	740	2735
213	743	2731
214	746	2726
215	750	2722
216	753	2717
217	756	2712
218	759	2708
219	762	2704
220	766	2701
221	769	2696
222	772	2691
223	775	2687
224	779	2683
225	782	2679
226	785	2674
227	788	2670
228	791	2665
229	794	2660
230	797	2656
231	801	2652
232	804	2647
233	807	2642
234	810	2638
235	813	2633
236	816	2629
237	819	2624
238	822	2620
239	826	2615
240	829	2611
241	832	2607
242	835	2602
243	838	2598
244	841	2593
245	845	2590
246	848	2585
247	851	2581
248	854	2576
249	857	2572
250	860	2568
251	864	2566
252	867	2561
253	870	2557
254	874	2554
255	877	2549
256	880	2545
257	883	2541
258	886	2536
259	889	2532
260	892	2528
261	896	2524
262	899	2520
263	902	2517
264	906	2513
265	909	2509
266	912	2505
267	915	2500
268	918	2496
269	921	2492
270	925	2488
271	928	2484
272	931	2480
273	934	2475
274	937	2471
275	940	2468
276	943	2463
277	947	2459
278	950	2455
279	953	2451
280	956	2447
281	959	2443
282	962	2439
283	965	2435
284	968	2430
285	971	2426
286	981	2438
287	984	2435
288	988	2431
289	991	2427
290	994	2423
291	997	2419
292	1001	2415
293	1004	2411
294	1007	2407
295	1010	2403
296	1013	2399
297	1016	2394
298	1019	2390
299	1022	2386
300	1025	2382
301	1028	2377
302	1031	2373
303	1034	2369
304	1037	2364
305	1040	2360
306	1043	2356
307	1046	2352
308	1050	2348
309	1053	2343
310	1056	2339
311	1059	2335
312	1062	2331
313	1065	2327
314	1068	2322
315	1071	2318
316	1074	2314
317	1077	2310
318	1080	2306
319	1083	2302
320	1086	2297
321	1089	2293
322	1092	2289
323	1095	2285
324	1098	2281
325	1101	2277
326	1104	2273
327	1107	2269
328	1110	2265
329	1113	2261
330	1117	2258
331	1120	2254
332	1123	2249
333	1126	2245
334	1129	2241
335	1132	2237
336	1135	2234
337	1138	2229
338	1142	2227
339	1145	2223
340	1148	2219
341	1151	2215
342	1154	2211
343	1157	2207
344	1160	2204
345	1163	2199
346	1166	2196
347	1170	2192
348	1173	2188
349	1176	2184
350	1178	2179
